objectid,pghdb_sde_permitparking_area,perimeter,permitpk,permitpk_i,code,neighborhood,number,acres,sqmiles,uniqueid,status,enforcement,grace_period,visitor_pass,monday,tuesday,wednesday,thursday,friday,saturday,sunday,other_time,hcmap,district,code_rpp,code_district,created_user,created_date,last_edited_user,last_edited_date,expiration_date,shape_area,shape_length
35,,3930.03592424,19,101,O,HOMEWOOD SOUTH,0,11.006,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,,S. Homewood-N. Point Breeze,O,O - S. Homewood-N. Point Breeze,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires October 1st,667900.789001465,5511.65241046381
36,,0,0,0,BB,FRIENDSHIP,0,48.56,0,0,Approved,,2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,,Bloomfield-Friendship,BB,BB - Bloomfield-Friendship,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires November 1st,33642.3063354492,981.116569581112
37,,0,0,0,BB,FRIENDSHIP,0,48.56,0,0,Approved,,2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,,Bloomfield-Friendship,BB,BB - Bloomfield-Friendship,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires November 1st,3286148.48449707,11992.458594534
38,,7274.27066238,46,36,P,BLUFF,0,24.967,0.039,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Bluff,P,P - Bluff,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires November 1st,1252554.04748535,7758.49426370067
39,,14069.2001637,4,84,H,BLOOMFIELD,0,146.859,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Bloomfield,H,H - Bloomfield,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires November 1st,6423313.72393799,14431.9194989242
40,,7568.73974059,16,20,G,ALLEGHENY WEST,0,28.662,0.042,1,Approved,,1 Hour,3 Days,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,,,Allegheny West,G,G - Allegheny West,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires December 1st,1248531.34069824,7406.88424804502
41,,7568.73974059,16,20,G,ALLEGHENY WEST,0,28.662,0.042,1,Approved,,1 Hour,3 Days,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,,,Allegheny West,G,G - Allegheny West,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires December 1st,9136.11218261719,551.021914989128
42,,17434.5378142,15,9,U,SHADYSIDE,0,162.808,0.262,1,Approved,,2 Hours,3 Days,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,,,,Shadyside,U,U - Shadyside,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires December 1st,7081324.79998779,16499.640678264
43,,0,0,0,II, ,0,0,0,0,Approved,,,,,,,,,,,,,South Side,II,II - South Side,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires April 1st,1867863.44152832,12224.0174160315
44,,0,0,0,HH,CENTRAL NORTHSIDE,0,0,0,0,Approved,"Mon - Sat, 7am - 7pm",1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,,HH,HH - ,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires October 1st,922508.053710938,7331.72559064142
45,,5730.72359713,11,13,X,SHADYSIDE,0,21.314,0.033,1,Approved,,2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Shadyside,X,X - Shadyside,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires July 1st,2095047.20062256,14262.0247832444
46,,2467.82872569,42,8,B,WEST OAKLAND,0,5.875,0.008,1,Approved,,1 Hour,3 Days,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,,,,Oakland,B,B - Oakland,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires September 1st,160613.86114502,2156.43373991559
47,,2467.82872569,42,8,B,WEST OAKLAND,0,5.875,0.008,1,Approved,,1 Hour,3 Days,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,,,,Oakland,B,B - Oakland,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires September 1st,774177.490783691,4243.24071286256
48,,4838.09443267,48,5,E,SOUTH OAKLAND,0,22.568,0.035,1,Approved,,1 Hour,3 Days,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,,,,Oakland,E,E - Oakland,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires July 1st,1083218.18969727,5242.39097133722
49,,6274.88001338,50,85,M,SOUTH OAKLAND,0,19.786,0,1,Approved,,1 Hour,3 Days,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,,,,Oakland,M,M - Oakland,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires June 1st,1605498.32501221,5912.96688696141
50,,16117.5725,52,76,T,BEECHVIEW,0,41.682,0,1,Approved,,1 & 2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,9:00 AM - 2:00 PM,,,,Beechview,T,T - Beechview,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires May 1st,1719858.48727417,15968.3741166844
51,,5342.31941288,5,39,R,BLOOMFIELD,0,10.663,0.014,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Bloomfield,R,R - Bloomfield,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires October 1st,708144.739440918,6270.61850531292
52,,,,,T,,,,,,,,,,,,,,,,,,,,T,,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,,,
53,,,,,T,,,,,,,,,,,,,,,,,,,,T,,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,,,
54,,,,,MM,SQURREL HILL NORTH &  SOUTH,,,,,,,2 Hours,,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,,Squirrel Hill,MM,MM - Squirrell Hill,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,,117950.804992676,4457.38702353315
